eval,J,J_nonqs,J_res,J_iota,J_mr,J_beta,J_surface_reg,weighted_residual_norm,iota,major_radius,target_plasma_beta,achieved_plasma_beta,reference_magnetic_pressure,pressure_jump,boozer_norm,normal_norm,pressure_norm,jump_norm,sheet_current_norm
2.500000000000000000e+01,1.109313615356043314e+01,2.588431882094490225e-02,1.096342620888214903e+01,3.965109018009734670e-02,6.327484903779058423e-02,3.436778624942244472e-04,5.560087769578832100e-04,4.682611709053431603e+00,-6.228671739004933983e-01,1.817171498493564519e+00,2.999999999999999889e-02,3.829069191918532677e-02,6.704823143803237472e+05,2.011446943140971052e+04,1.623547566307318997e-14,3.205092484540877695e+00,2.679764943196274007e+00,2.114969132758243830e+00,1.385471202810929855e+06
2.600000000000000000e+01,1.109313585516565048e+01,2.588431858882027023e-02,1.096342606660641472e+01,3.965093404264820320e-02,6.327485008464761584e-02,3.436770643447998024e-04,5.560087787740612773e-04,4.682611678669589494e+00,-6.228666194472307627e-01,1.817171501436337877e+00,2.999999999999999889e-02,3.829068229212529567e-02,6.704823153682985576e+05,2.011446946104895687e+04,1.464604421966105021e-14,3.205092899306090981e+00,2.679764556233784845e+00,2.114968927238330743e+00,1.385471059120051796e+06
2.700000000000000000e+01,1.109313441415623558e+01,2.588432084991118542e-02,1.096342471912843486e+01,3.965083742639845948e-02,6.327485021381396013e-02,3.436777568278080752e-04,5.560087808498446159e-04,4.682611390907521098e+00,-6.228662763567002214e-01,1.817171501799431654e+00,2.999999999999999889e-02,3.829069064466655847e-02,6.704823144617001526e+05,2.011446943385100531e+04,1.601155152914243813e-14,3.205092689083793189e+00,2.679764072273202569e+00,2.114969221901875862e+00,1.385471336392290425e+06
2.800000000000000000e+01,2.247303796879568605e+00,2.434615504841884225e-03,1.676036018312036635e+00,1.798518678751173899e-05,5.687414677079012382e-01,1.187940042077639333e-05,6.183076758106891902e-05,1.830866471544026375e+00,-3.352632151543927241e-01,2.527961705085176369e+00,2.999999999999999889e-02,3.154138901129963785e-02,8.128649895983038004e+05,2.438594968794911256e+04,2.010977170090558301e-14,1.479827363392350659e+00,8.355076714178328867e-01,6.812561501970214595e-01,5.916440529627216747e+05
2.900000000000000000e+01,2.247303782371851355e+00,2.434615402763972130e-03,1.676035999851427816e+00,1.798378541118687685e-05,5.687414731665523249e-01,1.187939377653354902e-05,6.183077191946603291e-05,1.830866461461036154e+00,-3.352634488178306005e-01,2.527961710203324941e+00,2.999999999999999889e-02,3.154138858024402997e-02,8.128649784655967960e+05,2.438594935396790243e+04,2.350453189032254373e-14,1.479827430822351575e+00,8.355078251402645595e-01,6.812557880986838121e-01,5.916435442684805021e+05
3.000000000000000000e+01,2.247303935573299327e+00,2.434615694549318449e-03,1.676036064244949220e+00,1.798460954311914380e-05,5.687415608592791827e-01,1.187939502938572080e-05,6.183076994888452515e-05,1.830866496632099771e+00,-3.352633114021754679e-01,2.527961792425907017e+00,2.999999999999999889e-02,3.154138866152477599e-02,8.128649846566999331e+05,2.438594953970099596e+04,2.068431083971032090e-14,1.479827446405171942e+00,8.355077541414875908e-01,6.812559358459159276e-01,5.916437394207158359e+05
3.100000000000000000e+01,2.247303828780513157e+00,2.434615801977266496e-03,1.676035997719996118e+00,1.798455476246376637e-05,5.687415205396302298e-01,1.187939661631870518e-05,6.183076753070484142e-05,1.830866460296870502e+00,-3.352633205361973956e-01,2.527961754621339985e+00,2.999999999999999889e-02,3.154138876447953183e-02,8.128649883059927961e+05,2.438594964917978359e+04,1.988047233370793158e-14,1.479827429323789856e+00,8.355077463905125068e-01,6.812558848056896599e-01,5.916437190363984555e+05
3.200000000000000000e+01,2.247303924388440954e+00,2.434615409348920862e-03,1.676036080183047172e+00,1.798450493348360788e-05,5.687415341294017601e-01,1.187939386274349344e-05,6.183076784676273092e-05,1.830866505337320982e+00,-3.352633288445985293e-01,2.527961767363401169e+00,2.999999999999999889e-02,3.154138858583703520e-02,8.128649891005968675e+05,2.438594967301790530e+04,1.991806322392130793e-14,1.479827475112820645e+00,8.355077481786583604e-01,6.812559041951390393e-01,5.916437328500625445e+05
3.300000000000000000e+01,2.247305224853068495e+00,2.434615567780534177e-03,1.676035841374303281e+00,1.798675946292474230e-05,5.687430709677256946e-01,1.187942104593253767e-05,6.183076274961539021e-05,1.830866374902495819e+00,-3.352629529396357611e-01,2.527963208334990330e+00,2.999999999999999889e-02,3.154139034938801406e-02,8.128649902311324840e+05,2.438594970693397408e+04,1.998665490343718507e-14,1.479827297763619542e+00,8.355075998164770423e-01,6.812561208467339258e-01,5.916439558715369785e+05
3.400000000000000000e+01,2.247303862876282476e+00,2.434615272137366677e-03,1.676035888479918246e+00,1.798449414676655812e-05,5.687416644911957864e-01,1.187937693743421346e-05,6.183076194743997969e-05,1.830866400631088187e+00,-3.352633306431592741e-01,2.527961889593407285e+00,2.999999999999999889e-02,3.154138748778068102e-02,8.128649891622809228e+05,2.438594967486842506e+04,2.236074683041723337e-14,1.479827378681756622e+00,8.355077800968124802e-01,6.812557931213597540e-01,5.916432982493848540e+05
